codice_contabilita|partita_iva|commodity|fornitore|anno_comp|mese_comp|data_emissione|data_scadenza|flg_presenza_scadenza|provenienza|volume|importo
167417|02166820510|GAS|CENTRIA S.r.l.|2021|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-739.845|-122.156719
167417|02166820510|GAS|CENTRIA S.r.l.|2021|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-4063.848|-558.582341
167417|02166820510|GAS|CENTRIA S.r.l.|2021|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|1103.33|179.664552
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|12|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|223.954|25.434649
167417|02166820510|GAS|CENTRIA S.r.l.|2021|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-181.105|-2.264264
167417|02166820510|GAS|CENTRIA S.r.l.|2020|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|557.832|79.378431
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|12|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-1869.653|-190.379379
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|10|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|33.275|3.84082
167417|02166820510|GAS|CENTRIA S.r.l.|2019|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|424.184|47.694395
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|08|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-339.805|-36.200396
167417|02166820510|GAS|CENTRIA S.r.l.|2019|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|36.852|-0.26821899999999
167417|02166820510|GAS|CENTRIA S.r.l.|2018|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-124.872|-24.652284
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|03|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|288.046|34.619126
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|02|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-1070.736|-123.71508
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|04|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|1191.173|130.727549
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|05|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-74.681|-8.385631
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|04|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|524.882|53.599273
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|10|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|2152.759|225.307989
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|03|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-1074.756|-4213.747294
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|02|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-4314.143|-359.454567
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|01|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-1897.336|-116.133623
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|05|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-175.596|-19.302963
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|07|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-202.737|-22.112301
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2020|09|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-452.703|-49.206256
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|09|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-28.86|-2.792698
167417|02166820510|GAS|CENTRIA S.r.l.|2019|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|82.122|10.344216
167417|02166820510|GAS|CENTRIA S.r.l.|2018|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-58.396|-11.496333
167417|02166820510|GAS|CENTRIA S.r.l.|2019|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-52.308|-11.753342
167417|02166820510|GAS|CENTRIA S.r.l.|2020|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|89.018|5.343369
167417|02166820510|GAS|CENTRIA S.r.l.|2018|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-54.44|-13.503445
167417|02166820510|GAS|CENTRIA S.r.l.|2018|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-48.497|-11.221778
167417|02166820510|GAS|CENTRIA S.r.l.|2019|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-48.262|-11.416023
167417|02166820510|GAS|CENTRIA S.r.l.|2019|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|74.025|14.685232
167417|02166820510|GAS|CENTRIA S.r.l.|2018|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-52.455|-12.052627
167417|02166820510|GAS|CENTRIA S.r.l.|2020|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|176.417|29.677091
167417|02166820510|GAS|CENTRIA S.r.l.|2018|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-48.503|-10.424545
167417|02166820510|GAS|CENTRIA S.r.l.|2019|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|78.969|1.04883
167417|02166820510|GAS|CENTRIA S.r.l.|2020|04|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|131.552|14.581634
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|11|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|96.715|11.217283
167417|02166820510|GAS|CENTRIA S.r.l.|2020|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|229.992|40.472863
167417|02166820510|GAS|CENTRIA S.r.l.|2019|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|287.457|33.141747
167417|02166820510|GAS|CENTRIA S.r.l.|2018|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-363.403|-64.074554
167417|02166820510|GAS|CENTRIA S.r.l.|2018|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-277.668|-49.744416
167417|02166820510|GAS|CENTRIA S.r.l.|2019|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-359.194|-48.005804
167417|02166820510|GAS|CENTRIA S.r.l.|2018|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-348.114|-46.013714
167417|02166820510|GAS|CENTRIA S.r.l.|2020|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|350.331|62.214607
167417|02166820510|GAS|CENTRIA S.r.l.|2018|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-340.175|-47.944742
167417|02166820510|GAS|CENTRIA S.r.l.|2020|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|302.928|31.947186
167417|02166820510|GAS|CENTRIA S.r.l.|2018|04|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-176.469|-33.082832
167417|02166820510|GAS|CENTRIA S.r.l.|2019|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-350.263|-51.687231
167417|02166820510|GAS|CENTRIA S.r.l.|2019|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-402.945|-81.070339
167417|02166820510|GAS|CENTRIA S.r.l.|2018|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-387.787|-74.767107
167417|02166820510|GAS|CENTRIA S.r.l.|2020|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|421.4|36.709728
167417|02166820510|GAS|CENTRIA S.r.l.|2019|04|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|-180.197|-38.801167
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|10|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|311.223|24.462834
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|11|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-505.094|-40.138815
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|12|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-523.458|-38.490028
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|08|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-36.016|-3.327585
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|07|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-19.446|-1.517073
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2021|06|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-44.338|-4.439732
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|09|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|4.159|0.474092
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|07|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-2.079|-0.25752
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|08|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|3.118|0.283245
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|03|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|3.1189999999999|0.338737
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|06|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-0.0009999999999728|-0.025518999999999
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|04|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|-0.001000000000019|-4.9999999994568e-06
167417|02166820510|GAS|CENTRIA S.r.l.|2017|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|27.956|3.009814
167417|02166820510|GAS|CENTRIA S.r.l.|2017|04|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|24.962|3.75585
167417|02166820510|GAS|CENTRIA S.r.l.|2017|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|21.966|3.173856
167417|02166820510|GAS|CENTRIA S.r.l.|2017|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|26.958|2.512855
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2018|11|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|1.039|0.095158999999998
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|05|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|1.04|0.121051
167417|02166820510|GAS|CENTRIA S.r.l.|2017|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|23.963|3.462388
167417|02166820510|GAS|CENTRIA S.r.l.|2017|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|30.952|0.573137
167417|02166820510|GAS|CENTRIA S.r.l.|2017|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|27.957|8.819012
167417|02166820510|GAS|CENTRIA S.r.l.|2017|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|19.969|3.014005
167417|02166820510|GAS|CENTRIA S.r.l.|2017|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|29.954|2.794656
167417|02166820510|GAS|CENTRIA S.r.l.|2017|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|21.966|2.468814
167417|02166820510|GAS|CENTRIA S.r.l.|2017|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|18.971|2.863304
167417|02166820510|GAS|CENTRIA S.r.l.|2017|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|24.961|2.356125
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2019|01|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|1.04|0.11291
148987|12883450152|GAS|UNARETI S.p.A.|2022|02|2022-05-25 00:00:00|2022-05-25 00:00:00|PRESENTE|AcuPhi|38.54|4.08
148987|12883450152|GAS|UNARETI S.p.A.|2022|04|2022-05-25 00:00:00|2022-05-25 00:00:00|PRESENTE|AcuPhi|68.011|9.86
148987|12883450152|GAS|UNARETI S.p.A.|2022|03|2022-05-25 00:00:00|2022-05-25 00:00:00|PRESENTE|AcuPhi|70.28|7.44
148987|12883450152|GAS|UNARETI S.p.A.|2022|04|2022-05-09 00:00:00|2022-05-27 00:00:00|PRESENTE|AcuPhi|126.532|14.44
148987|12883450152|GAS|UNARETI S.p.A.|2021|11|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|33.156|6.3084507042254
148987|12883450152|GAS|UNARETI S.p.A.|2021|10|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|11.052|2.1028169014085
148987|12883450152|GAS|UNARETI S.p.A.|2022|01|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|34.265|2.7004444444444
148987|12883450152|GAS|UNARETI S.p.A.|2022|02|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|30.949|2.4391111111111
148987|12883450152|GAS|UNARETI S.p.A.|2021|12|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|34.262|6.5187323943662
148987|12883450152|GAS|UNARETI S.p.A.|2022|03|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|34.265|2.7004444444444
148987|12883450152|GAS|UNARETI S.p.A.|2022|03|2022-05-09 00:00:00|2022-05-27 00:00:00|PRESENTE|AcuPhi|2.69|0.18
415551|01311630055|GAS|METANPROGETTI S.r.l.|2021|12|2022-05-30 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|110
415551|01311630055|GAS|METANPROGETTI S.r.l.|2021|09|2022-05-30 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|45
415551|01311630055|GAS|METANPROGETTI S.r.l.|2021|11|2022-05-30 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|45
167417|02166820510|GAS|CENTRIA S.r.l.|2022|06|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-634.67
167417|02166820510|GAS|CENTRIA S.r.l.|2022|05|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-655.82
167417|02166820510|GAS|CENTRIA S.r.l.|2022|08|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-76.28
167417|02166820510|GAS|CENTRIA S.r.l.|2022|07|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-85.54
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|05|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-17.13
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|07|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.55
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|09|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.18
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|11|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.18
167417|02166820510|GAS|CENTRIA S.r.l.|2022|09|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-73.83
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|06|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-16.58
167417|02166820510|GAS|CENTRIA S.r.l.|2022|11|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-24.83
167417|02166820510|GAS|CENTRIA S.r.l.|2022|10|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-25.65
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|08|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.55
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|12|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.55
127056|02770130231|GAS|A.G.S.M. - AZIENDA GENERALE SERVIZI|2022|10|2022-05-11 00:00:00|2022-05-31 00:00:00|PRESENTE|AcuPhi|0|-11.55
167417|02166820510|GAS|CENTRIA S.r.l.|2023|03|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-2.55
167417|02166820510|GAS|CENTRIA S.r.l.|2023|02|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-2.3
167417|02166820510|GAS|CENTRIA S.r.l.|2023|01|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-2.55
167417|02166820510|GAS|CENTRIA S.r.l.|2022|12|2022-05-09 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-2.55
325339|03641150820|GAS|COMEST S.p.A.|2022|04|2022-05-02 00:00:00|2022-05-02 00:00:00|PRESENTE|AcuPhi|0|566.68
345050|13171830154|GAS|EROGASMET S.p.A.|2022|04|2022-05-05 00:00:00|2022-05-05 00:00:00|PRESENTE|AcuPhi|0|1217.65
345050|13171830154|GAS|EROGASMET S.p.A.|2022|04|2022-05-12 00:00:00|2022-05-12 00:00:00|PRESENTE|AcuPhi|0|434.17
415551|01311630055|GAS|METANPROGETTI S.r.l.|2022|04|2022-05-02 00:00:00|2022-05-02 00:00:00|PRESENTE|AcuPhi|0|1050
325339|03641150820|GAS|COMEST S.p.A.|2022|04|2022-05-09 00:00:00|2022-05-09 00:00:00|PRESENTE|AcuPhi|0|350
345050|13171830154|GAS|EROGASMET S.p.A.|2022|04|2022-05-17 00:00:00|2022-05-20 00:00:00|PRESENTE|AcuPhi|0|725.13
388977|04152790962|GAS|"RETIPIU\' S.r.l."|2022|05|2022-05-02 00:00:00|2022-05-02 00:00:00|PRESENTE|AcuPhi|0|2
129532|01177760491|GAS|ASA- AZIENDA SERVIZI AMBIENTALI S.p.A.|2022|05|2022-05-06 00:00:00|2022-05-06 00:00:00|PRESENTE|AcuPhi|0|2
148987|12883450152|GAS|UNARETI S.p.A.|2022|05|2022-05-04 00:00:00|2022-05-30 00:00:00|PRESENTE|AcuPhi|0|-23.18
148987|12883450152|GAS|UNARETI S.p.A.|2022|05|2022-05-09 00:00:00|2022-05-27 00:00:00|PRESENTE|AcuPhi|0|-0.18
148987|12883450152|GAS|UNARETI S.p.A.|2022|05|2022-05-25 00:00:00|2022-05-25 00:00:00|PRESENTE|AcuPhi|0|-27.64
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2021|11|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-25817
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2022|04|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-6768.2
148987|12883450152|GAS|UNARETI S.p.A.|2022|05|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-1320
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2022|03|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-2726
302288|00757920152|GAS|"METANO SANT\'ANGELO LODIGIANO S.p.A."|2021|11|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-162
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2022|02|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-492.2
302288|00757920152|GAS|"METANO SANT\'ANGELO LODIGIANO S.p.A."|2022|02|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-50.8
419744|05608890488|GAS|TOSCANA ENERGIA S.p.A.|2022|04|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-225
302288|00757920152|GAS|"METANO SANT\'ANGELO LODIGIANO S.p.A."|2021|12|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-149
302288|00757920152|GAS|"METANO SANT\'ANGELO LODIGIANO S.p.A."|2022|01|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-35
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2022|05|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-260
419744|05608890488|GAS|TOSCANA ENERGIA S.p.A.|2022|05|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-350
419744|05608890488|GAS|TOSCANA ENERGIA S.p.A.|2022|01|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-140
119907|00489490011|GAS|ITALGAS RETI S.p.A.|2021|12|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-70
148987|12883450152|GAS|UNARETI S.p.A.|2018|03|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-210
419744|05608890488|GAS|TOSCANA ENERGIA S.p.A.|2022|02|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-210
302288|00757920152|GAS|"METANO SANT\'ANGELO LODIGIANO S.p.A."|2022|03|2022-05-11 00:00:00|2022-05-11 00:00:00|PRESENTE|AcuPhi|0|-88.8
419744|05608890488|GAS|TOSCANA ENERGIA S.p.A.|2022|03|2022-05-19 00:00:00|2022-05-19 00:00:00|PRESENTE|AcuPhi|0|-35
